NO_POSTE,CO,H2S,NO,NO2,SO2,PM10,PM2_5F,O3
3,,,1.5876288,3.2466525,0.8157366,,7.2,27.013875
7,,,2.5560516,5.775495,1.3034094,,9.166666667,
13,,,,,,,16.66666667,
17,,,27.6812004,26.99136,,,16.878,15.9710375
28,,,12.2633556,16.58205,,,15.06666667,16.171425
50,,,,,,,16.1,
55,,,0.2976804,4.4309325,,,11.73333333,26.20515
61,,,11.6087664,18.4037325,0.4157526,,16.66666667,15.2258625
66,,,10.9987908,16.493655,,,18.63333333,14.824575
68,,,8.6681148,15.3397275,,,,17.2410125
80,,,11.757222,11.473245,1.4084052,,13.86666667,19.8568125
99,,,20.8407048,21.4176825,1.5157086,,21.16666667,14.1168125
